,,,PRICE,,QUALITY,,DELIVERY,,,COMPLIANCE,RAW SCORE,MAX RAW SCORE,FINAL SCORE,FINAL RANK,Last Updated: 2025-04-08 23:09:52
VENDOR NAME,LOCATION,CATEGORIES,AVERAGE PURCHASE PRICE,"AVG PRICE ADV FOR LARGER QTY = 
(Max Price−Min Price/ MaxPrice )×100",DHU in %,"FIRST TIME PASS
( in %)",ON TIME DELIVERY %,OTIF,ORDER FULFILlMENT,,,,,,
CASTLE APPARELS,Ludhiana,Tshirts,196.3,4.10%,26%,91.53%,86.20%,88.80%,95.08%,83,30.2,48.44,68.62,11,
DOLLAR EXPORTS,Tirrupur,Tshirts,124.5,4.46%,52%,82.67%,88.50%,89.78%,94.74%,86,19.38,48.44,50.00,21,
INZEX TEXTILE PRIVATE LIMITED,Noida,"Tshirts,Shorts,Dresses, Denim Jeans, Jackets, Sweatshirts, Trackpants,Cord Sets",179.9,8.60%,12%,100%,79.20%,91.70%,95.00%,90,27.73,48.44,64.37,15,
KANAV,Ludhiana,"Tshirs, Trackpants, Sweatshirts",213.6,9.20%,46%,66.67%,100%,94.40%,94.51%,85,32.85,48.44,73.18,8,
KAPOOR COTSYN EXPORTS,Ludhiana,"Sweatshirts, Tshirts, Trackpants",223.4,4.80%,35%,90%,71.90%,89.90%,94.74%,86,34.3,48.44,75.67,4,
KAY VENTURE,Tirrupur,Tshirts,192.5,2.70%,82%,60%,85.10%,99%,94.95%,88,29.68,48.44,67.73,12,
KOTHARI SPORTS & APPARELS PVT. LTD.,Kolkata,Tshirts,172.3,12.34%,34%,74%,78.50%,91.25%,94.70%,86,26.58,48.44,62.38,16,
MAITRI KNITWEAR,Ludhiana,"Tshirts, Sweatshirts",230.4,3.70%,39%,77.78%,83.50%,93.10%,94.97%,86,35.36,48.44,77.49,3,
NATRAJ INTERNATIONAL,Ludhiana,"Sweatshirts, Tshirts, Trackpants",317.1,4.50%,31%,84.00%,82.00%,84.90%,94.59%,75,48.44,48.44,100.00,1,
PENTAGON CLOTHING COMPANY,Tiruppur,Tshirts,199.9,10%,56%,100%,46.20%,59.10%,94.76%,83,30.72,48.44,69.52,10,
POPPYS APPARELS,Tiruppur,"Tshirts,Trackpants ,Shorts",207.8,8.70%,45%,88.72%,73.90%,90.10%,95.16%,88,31.97,48.44,71.65,9,
RASHAM KNITWEARS,Ludhiana,"Sweaters, Tshirts,Sweatshirts, Jackets",222.7,7.70%,20%,82.61%,62.70%,88.80%,94.76%,88,34.15,48.44,75.42,5,
RGT FASHION PRIVATE LIMITED,Mumbai,Tshirts,162.0,10.54%,33%,100%,86.70%,66.60%,95.35%,90,25.03,48.44,59.71,19,
SANVI FABRICS,Ludhiana,"Tshirts, Sweatshirt, Lowers",248.7,3.26%,28%,80.50%,63.60%,61.50%,95.35%,83,38.05,48.44,82.12,2,
SANYOG INTERNATIONAL,Ludhiana,"Tshirts, Jackets, Coats",172.0,7.60%,32%,85.20%,82.60%,88.23%,95.14%,85,26.54,48.44,62.31,17,
SK APPARELS,Tirrupur,Tshirts,190.7,6.70%,40%,88.24%,79.90%,73.10%,94.93%,85,29.35,48.44,67.16,13,
SRI SKANDA,Bangalore,Tshirts and Jackets,164.0,5.70%,38%,90.20%,100%,100%,95.22%,88,25.38,48.44,60.32,18,
SUDITI INDUSTRIES LTD,Mumbai,Tshirts,219.2,26.50%,45%,86.36%,77.50%,80.10%,94.62%,91,33.7,48.44,74.64,6,
SWIFT MERCHANDISE,Ludhiana,Tshirts,152.8,17.45%,43%,75.00%,76.90%,100%,94.48%,90,23.66,48.44,57.36,20,
VEENA FIRMEN,Tirrupur,Tshirts,184.8,4.83%,20%,83.33%,81%,86.40%,95.20%,81,28.45,48.44,65.60,14,
VISTA APPARELS,Tirrupur,Tshirts,129.8,10.23%,64%,88.45%,72%,94.15,94.46%,90,32.86,48.44,73.20,7,